dataset,variant,mode,query,n_db,n_relevant,rho,p_at_5,p_at_10,ndcg_at_10
pilot_holdout,plain,signed,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,109,24,0.4003706792697619,1.0,0.7,0.8731608051934103
pilot_holdout,plain,signed,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,111,14,0.2948666198666198,0.6,0.3,0.8355210792721786
pilot_holdout,plain,signed,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,111,9,0.4206563706563706,0.8,0.5,0.8868396137024414
pilot_holdout,plain,signed,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,111,17,0.33129168129168124,1.0,0.6,0.823121408237856
pilot_holdout,plain,signed,Behavioral_Activation_System_Scale_behavioral_activation,109,12,0.48621073116485963,0.8,0.5,0.7845718794845986
pilot_holdout,plain,signed,Behavioral_Activation_System_Scale_behavioral_activation_Drive,111,4,0.5408125658125659,0.2,0.2,0.7135807204644887
pilot_holdout,plain,signed,Behavioral_Activation_System_Scale_behavioral_activation_Fun_Seeking,111,6,0.33739908739908736,0.8,0.5,0.8863602978402703
pilot_holdout,plain,signed,Behavioral_Activation_System_Scale_behavioral_activation_Reward_Responsiveness,111,11,0.5331519831519831,0.2,0.3,0.7402583250069594
pilot_holdout,plain,signed,Behavioral_Inhibition_System_Scale_behavioral_inhibition,112,19,0.45078928486008135,1.0,1.0,0.9353886899795083
pilot_holdout,plain,signed,Big_Five_Inventory_2_agreeableness,109,16,0.1982670744138634,0.6,0.4,0.7188306639858201
pilot_holdout,plain,signed,Big_Five_Inventory_2_agreeableness_compassion,111,12,0.12700070200070201,0.4,0.5,0.65868692016859
pilot_holdout,plain,signed,Big_Five_Inventory_2_agreeableness_respectfulness,111,15,0.3456300456300456,1.0,0.7,0.8325872318025435
pilot_holdout,plain,signed,Big_Five_Inventory_2_agreeableness_trust,111,8,0.24901719901719896,0.8,0.5,0.710693694329182
pilot_holdout,plain,signed,Big_Five_Inventory_2_conscientiousness,109,19,0.3591048095635252,0.8,0.4,0.7234703709926004
pilot_holdout,plain,signed,Big_Five_Inventory_2_conscientiousness_organization,111,11,0.3806423306423306,0.8,0.7,0.8490870424071394
pilot_holdout,plain,signed,Big_Five_Inventory_2_conscientiousness_productiveness,111,20,0.4645928395928396,1.0,0.7,0.8023596116591928
pilot_holdout,plain,signed,Big_Five_Inventory_2_conscientiousness_responsibility,111,15,0.2788522288522289,0.6,0.4,0.6742060112404825
pilot_holdout,plain,signed,Big_Five_Inventory_2_extraversion,109,22,0.17413585395236775,0.4,0.3,0.4810198340416288
pilot_holdout,plain,signed,Big_Five_Inventory_2_extraversion_assertiveness,111,8,0.22946647946647947,0.2,0.2,0.6040038631521354
pilot_holdout,plain,signed,Big_Five_Inventory_2_extraversion_energy_level,111,22,0.3881537381537381,0.6,0.4,0.7667651822836572
pilot_holdout,plain,signed,Big_Five_Inventory_2_extraversion_sociability,111,12,0.044928044928044926,0.0,0.0,0.33225150843878026
pilot_holdout,plain,signed,Big_Five_Inventory_2_neuroticism,109,29,0.2862663330553239,0.6,0.4,0.599915213289129
pilot_holdout,plain,signed,Big_Five_Inventory_2_neuroticism_anxiety,111,22,0.23459985959985957,0.8,0.6,0.8059421734400458
pilot_holdout,plain,signed,Big_Five_Inventory_2_neuroticism_depression,111,34,0.33161635661635663,0.4,0.5,0.602164949435826
pilot_holdout,plain,signed,Big_Five_Inventory_2_neuroticism_emotional_volatility,111,19,0.2533520533520533,0.4,0.5,0.6659604325486765
pilot_holdout,plain,signed,Big_Five_Inventory_2_openness,109,6,-0.02452970067648967,0.6,0.4,0.777222072485579
pilot_holdout,plain,signed,Big_Five_Inventory_2_openness_aesthetic_sensitivity,111,8,0.20309757809757809,1.0,0.6,0.8229738757411607
pilot_holdout,plain,signed,Big_Five_Inventory_2_openness_creative_imagination,111,7,0.04912249912249912,0.4,0.3,0.5278489659660374
pilot_holdout,plain,signed,Big_Five_Inventory_2_openness_intellectual_curiosity,111,6,-0.0021235521235521233,0.8,0.4,0.7641344417009699
pilot_holdout,plain,signed,Buss_Perry_Aggression_Questionnaire_Aggression,108,16,0.46885211542675315,0.6,0.6,0.8907184696774303
pilot_holdout,plain,signed,Buss_Perry_Aggression_Questionnaire_Aggression_Anger,111,15,0.5787908037908037,0.6,0.5,0.8788145012391502
pilot_holdout,plain,signed,Buss_Perry_Aggression_Questionnaire_Aggression_Hostility,111,19,0.4329150579150579,0.8,0.7,0.8428493640721333
pilot_holdout,plain,signed,Buss_Perry_Aggression_Questionnaire_Aggression_Physical_aggression,111,7,0.3761319761319761,0.8,0.6,0.9328321178808103
pilot_holdout,plain,signed,Buss_Perry_Aggression_Questionnaire_Aggression_Verbal_aggression,111,8,0.34799929799929796,0.8,0.6,0.8873665146238209
pilot_holdout,plain,signed,Emotion_Regulation_Questionnaire_Emotion_Regulation,110,12,0.05531185898158376,0.4,0.3,0.6831930392971832
pilot_holdout,plain,signed,Emotion_Regulation_Questionnaire_Emotion_Regulation_Reappraisal,111,6,0.3748244998244998,0.2,0.3,0.7354874613892742
pilot_holdout,plain,signed,Emotion_Regulation_Questionnaire_Emotion_Regulation_Suppression,111,0,-0.19806949806949806,0.0,0.0,0.3156421426991702
pilot_holdout,plain,signed,Hope_Scale_Hope,110,45,0.4489732434686563,1.0,0.8,0.8284039936815463
pilot_holdout,plain,signed,Hope_Scale_Hope_Agency,111,38,0.46116181116181115,0.8,0.8,0.8562305752710637
pilot_holdout,plain,signed,Hope_Scale_Hope_Pathways,111,25,0.4145665145665145,0.6,0.5,0.6081946992125502
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness,106,20,0.2522860669572008,0.6,0.6,0.722562437990679
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_altruism,111,17,0.20726570726570726,0.4,0.4,0.7372418017996735
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_cooperation,111,12,0.2966742716742717,1.0,0.8,0.9307098228424079
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_modesty,111,2,0.33569673569673564,0.0,0.0,0.6629955279458529
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_morality,111,14,0.30478237978237976,0.6,0.3,0.4706308800119514
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_sympathy,111,8,0.10559845559845558,0.4,0.3,0.598996047351823
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_agreeableness_trust,111,4,0.3222270972270972,0.4,0.2,0.6874884336991293
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness,106,23,0.5190467793536035,0.6,0.7,0.7918835676827196
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_achievement_striving,111,25,0.48393295893295885,0.8,0.6,0.8202012958792297
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_cautiousness,111,9,0.4113987363987364,1.0,0.5,0.9153555556388333
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_dutifulness,111,9,0.3475429975429975,0.2,0.2,0.7263895497290576
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_orderliness,111,6,0.3806423306423306,0.6,0.3,0.7659603457703302
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_self_discipline,111,16,0.2598894348894349,0.6,0.5,0.7900981258768648
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_conscientiousness_self_efficacy,111,23,0.5029747279747279,1.0,0.9,0.9072876307709733
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_extraversion,106,25,0.3472453837821498,0.4,0.4,0.674311338841353
pilot_holdout,plain,signed,International_Personality_Item_Pool_120_extraversion_activiity_level,111,16,0.4651105651105651,0.6,0.6,0.8508345453067255
